Poster_Url,poster_path,download_status,download_error,poster_available,poster_width,poster_height,poster_aspect_ratio,poster_format,poster_validation_error
https://image.tmdb.org/t/p/original/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg,data/poster_cache/c2bcca91f9159eaef6fbbbfcf73a47a1103c42725ae544eff9b4961e14e6de8e.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/8p3mhjyLjHKtaAv8tFKfvEBtir0.jpg,data/poster_cache/a6ffba1dcd21679e1f1a5c012050ccd118fc50ff8b9c09c22c57cf1b0c0529fb.jpg,cached,,True,1078,1617,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/qBLi3Nd5JMQGMiOmmfuPgLw5SzD.jpg,data/poster_cache/05b254175f9492dabf40ec6886ad2e5b169c1a66232370853045b8fcfcf86c3f.jpg,cached,,True,1500,2250,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg,data/poster_cache/b164b907e9639d27774911759063d9afbe461f5c323243e12999e61547722754.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,data/poster_cache/9d76e23428cfd2023f7c05b8bd49d93e0a6f01b42413576035ab089cb9e8b4a6.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/p5jzbffrXuBTjsiwrQ3aOMTrvCj.jpg,data/poster_cache/b5804b145e834e3b9d05c3e09cae8a15cb453b9f23e83d6a00da5ba8c79421c3.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/rO3nV9d1wzHEWsC7xgwxotjZQpM.jpg,data/poster_cache/b3b5156b30ea85117828e39d77bfe726859eb3e23b7103e722f2b07f55f8e541.jpg,cached,,True,1956,2963,0.6601417482281472,JPEG,
https://image.tmdb.org/t/p/original/jTswp6KyDYKtvC52GbHagrZbGvD.jpg,data/poster_cache/4e7742899ef5b9cb251f4683717daa234a21181980eb0da93a7452221127eae4.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,data/poster_cache/737519d217bd12e1fc62e21646bac5c12c4c21e4c5f3015b6765bc9926a24887.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/4IKBzVBPLXu9p5cfEfdJjHdlafV.jpg,data/poster_cache/d1da853e5597ede0396562e9b88f0ac77d480612a7c4df915d08962a39294133.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/ic0intvXZSfBlYPIvWXpU1ivUCO.jpg,data/poster_cache/82b860021919160c9b9f31710bc510e11f76d097ca903782a1d8bae9f3d63980.jpg,cached,,True,1920,2880,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/5P7QwmoYl70tsRZ8e0VnI9RI1MF.jpg,data/poster_cache/dc75bd43a2a9303ac5c45a74cd3e5a6ca7e6812128b7187ec5e08d58b4b4a776.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,data/poster_cache/30e58a5ea06e6ca6b47eb1b27ca1efe4d10f662717200ebf3673c5c57fc94efb.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg,data/poster_cache/bc2dd8e0dcd2e5b816361754fd3aa93d7d10e00657b3ddd46413a4e321049486.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,data/poster_cache/a6e2f611b7ae1110b5d192fcea07f1a3a9af2caae833ff40732dfcecef4e26bf.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/jUhGHv4YihieVjhU2TmFaBsZ4Xg.jpg,data/poster_cache/353cc465b89402f8c822d4e0d48753c625d0b39e7e50f6b97fef153be99a3d17.jpg,cached,,True,1000,1500,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/6gw8onh4FKsruBA7Oouv01EFxzn.jpg,data/poster_cache/0f814aa2e9a16c5c67a29071c2b3320db5b779e7ee13c381479a2ad259c4ed49.jpg,cached,,True,500,750,0.6666666666666666,JPEG,
